=== LOG LAPORAN GAGAL AKSES CRAWLING ===
Format: [KATEGORI] | Media | Alasan Detail | URL
[UNKNOWN_ERROR] | bangkapos.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://bangka.tribunnews.com/rss
[UNKNOWN_ERROR] | Beritabatam.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://beritabatam.com/feed/
[UNKNOWN_ERROR] | beritajatim.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://beritajatim.com/feed
[UNKNOWN_ERROR] | beritabali.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://beritabali.com/rss
[UNKNOWN_ERROR] | Beritajateng.id | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://beritajateng.id/feed/
[UNKNOWN_ERROR] | Beritajateng.tv | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://beritajateng.tv/feed/
[UNKNOWN_ERROR] | beritabuana.co | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://beritabuana.co/feed/
[UNKNOWN_ERROR] | Beritakepri.id | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://beritakepri.id/feed/
[UNKNOWN_ERROR] | Bangka Pos | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://bangka.tribunnews.com/rss
[UNKNOWN_ERROR] | baliexpress.jawapos.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://baliexpress.jawapos.com/sitemap.xml
[UNKNOWN_ERROR] | batampos.co.id | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://batampos.co.id/feed/
[UNKNOWN_ERROR] | "Berita Kota Makassar" | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://beritakotamakassar.com/feed/
[UNKNOWN_ERROR] | beritakalteng.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://beritakalteng.com/feed/
[UNKNOWN_ERROR] | Berita Kota Kendari | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://beritakotakendari.fajar.co.id/feed/
[UNKNOWN_ERROR] | Beritakaltim.co | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://beritakaltim.co/feed/
[UNKNOWN_ERROR] | beritakota.id | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://beritakota.id/feed/
[UNKNOWN_ERROR] | benuanta.co.id | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://benuanta.co.id/feed/
[UNKNOWN_ERROR] | beritamerdeka.net | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://beritamerdeka.net/feed?ticket=turneu1esti
[UNKNOWN_ERROR] | Beritamusi.co.id | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://beritamusi.co.id/feed/
[UNKNOWN_ERROR] | beritaprioritas.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://beritaprioritas.com/feed/
[UNKNOWN_ERROR] | Beritarafflesia.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://beritarafflesia.com/feed/
[UNKNOWN_ERROR] | beritasampit.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://beritasampit.com/feed/
[UNKNOWN_ERROR] | Berkatnewstv.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://berkatnewstv.com/feed/
[UNKNOWN_ERROR] | Beritatotabuan.com | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://beritatotabuan.com/feed/
[UNKNOWN_ERROR] | Bitnews.id | Error tidak terdefinisi: TunnelError("Could not open CONNECT tunnel with proxy 21.0.0.49:15004 [{'status': 403, 'reason': b'F... | https://bitnews.id/feed/
